timestamp,highway1_len,drain_delay_h1,can_take2
2026-04-21 21:17:48.412,3,1.7,0
2026-04-21 21:17:48.515,3,1.7,0
2026-04-21 21:17:48.619,3,1.7,0
2026-04-21 21:17:48.724,3,1.7,0
2026-04-21 21:17:48.830,3,1.7,0
2026-04-21 21:17:48.935,3,1.7,0
2026-04-21 21:17:49.039,3,1.7,0
2026-04-21 21:17:49.144,3,1.7,0
2026-04-21 21:17:49.246,3,1.7,0
2026-04-21 21:17:49.350,3,1.7,0
2026-04-21 21:17:49.450,3,1.7,0
2026-04-21 21:17:49.552,4,1.7,0
2026-04-21 21:17:49.657,4,1.7,0
2026-04-21 21:17:49.762,4,1.7,0
2026-04-21 21:17:49.862,4,1.7,0
2026-04-21 21:17:49.968,4,1.7,1
2026-04-21 21:17:50.072,4,1.7,1
2026-04-21 21:17:50.177,4,1.7,0
2026-04-21 21:17:50.279,4,1.7,0
2026-04-21 21:17:50.384,4,1.7,0
2026-04-21 21:17:50.488,5,1.7,0
2026-04-21 21:17:50.593,5,1.7,0
2026-04-21 21:17:50.698,5,1.7,0
2026-04-21 21:17:50.803,6,1.7,0
2026-04-21 21:17:50.908,6,1.7,0
2026-04-21 21:17:51.011,6,1.7,0
2026-04-21 21:17:51.116,6,1.7,0
2026-04-21 21:17:51.221,6,1.7,0
2026-04-21 21:17:51.322,6,1.7,0
2026-04-21 21:17:51.426,6,1.7,0
2026-04-21 21:17:51.531,6,1.7,0
2026-04-21 21:17:51.636,5,1.7,0
